                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.64903,                0.36303,                0.83868,                0.74751,                0.35309,                0.84903,                0.66595,                0.59038,                0.60822,                0.46432,                  1.094,                0.88977,                 0.9422,                 1.1974,                 1.1649,                0.97633,              3.664e-05,              3.664e-05,              3.664e-05
                     35,                0.64207,                0.35969,                0.83891,                0.73993,                0.35007,                0.85067,                0.59302,                0.59665,                0.59196,                0.45081,                 1.1041,                0.90327,                0.94476,                 1.2031,                 1.1701,                0.97679,              3.466e-05,              3.466e-05,              3.466e-05
                     36,                0.63971,                0.35433,                0.83577,                 0.7403,                0.34441,                0.84643,                0.66909,                0.59811,                0.62205,                0.47552,                 1.1025,                0.90085,                0.94372,                 1.1997,                 1.1532,                0.97196,              3.268e-05,              3.268e-05,              3.268e-05
                     37,                0.62984,                0.35009,                0.83507,                0.72843,                0.33509,                0.84572,                0.62938,                0.57476,                0.58817,                0.44779,                 1.1072,                0.91201,                0.94508,                  1.208,                  1.199,                0.97706,               3.07e-05,               3.07e-05,               3.07e-05
                     38,                0.63457,                0.35217,                0.83553,                0.73281,                0.34177,                0.84574,                0.63981,                0.56373,                0.58912,                0.44954,                 1.1018,                0.91341,                0.94408,                 1.2027,                 1.2086,                0.97318,              2.872e-05,              2.872e-05,              2.872e-05
                     39,                0.62543,                0.34491,                0.83383,                0.72313,                0.33033,                0.84419,                0.65822,                0.57725,                0.60096,                0.45849,                 1.1047,                0.92639,                0.94537,                 1.2037,                 1.2214,                0.97377,              2.674e-05,              2.674e-05,              2.674e-05
                     40,                0.62261,                0.34277,                0.83314,                0.72082,                0.32815,                0.84305,                0.65054,                0.58412,                0.59824,                0.45782,                 1.1036,                0.90862,                 0.9447,                 1.2034,                 1.1911,                0.97494,              2.476e-05,              2.476e-05,              2.476e-05
                     41,                0.52325,                0.27898,                 0.8064,                0.58868,                0.22226,                0.81122,                 0.6591,                0.58886,                0.60109,                0.45931,                 1.1101,                0.92886,                0.94994,                 1.2175,                 1.2203,                0.98137,              2.278e-05,              2.278e-05,              2.278e-05
                     42,                 0.5106,                0.27475,                 0.8041,                0.57749,                0.22075,                0.80832,                0.67436,                0.57539,                0.59817,                 0.4575,                 1.1093,                0.93087,                0.94936,                 1.2125,                 1.2351,                0.97976,               2.08e-05,               2.08e-05,               2.08e-05
                     43,                0.50523,                0.27152,                0.80212,                0.57305,                0.21596,                 0.8067,                0.67319,                0.56496,                0.59647,                 0.4549,                 1.1119,                0.94374,                0.94951,                 1.2143,                 1.2411,                0.98082,              1.882e-05,              1.882e-05,              1.882e-05
                     44,                0.49734,                0.26733,                0.80147,                0.56688,                0.21301,                0.80711,                0.65868,                0.57019,                0.59215,                0.45227,                 1.1124,                0.94924,                0.95219,                 1.2171,                 1.2558,                0.98339,              1.684e-05,              1.684e-05,              1.684e-05
                     45,                  0.492,                0.26476,                0.80185,                0.55971,                0.21076,                0.80601,                0.66029,                0.57138,                0.58817,                0.44944,                  1.116,                 0.9553,                0.95491,                 1.2184,                 1.2736,                0.98509,              1.486e-05,              1.486e-05,              1.486e-05
                     46,                0.48854,                0.26378,                0.80025,                 0.5584,                0.20924,                0.80472,                0.69142,                0.55025,                0.58895,                0.45073,                 1.1193,                0.96131,                0.95537,                 1.2249,                 1.2819,                 0.9857,              1.288e-05,              1.288e-05,              1.288e-05
                     47,                0.48083,                0.26072,                0.79939,                0.54936,                0.20958,                0.80407,                0.69338,                0.55296,                0.59464,                0.45451,                 1.1187,                0.95832,                 0.9551,                 1.2216,                 1.2871,                0.98582,               1.09e-05,               1.09e-05,               1.09e-05
                     48,                0.47495,                0.25748,                0.79707,                0.54055,                0.20158,                0.80174,                0.70662,                0.54671,                0.59926,                0.45945,                 1.1136,                0.95372,                0.95276,                 1.2177,                 1.2761,                0.98377,               8.92e-06,               8.92e-06,               8.92e-06
                     49,                0.47275,                0.25638,                0.79812,                0.54058,                0.20543,                0.80246,                0.69284,                0.55464,                0.59456,                0.45463,                 1.1175,                0.95991,                0.95461,                 1.2216,                 1.2768,                0.98593,               6.94e-06,               6.94e-06,               6.94e-06
                     50,                0.46689,                0.25375,                0.79809,                0.53359,                0.20114,                 0.8023,                0.67976,                0.56761,                0.59703,                0.45664,                  1.117,                0.96028,                0.95438,                 1.2221,                 1.2764,                0.98602,               4.96e-06,               4.96e-06,               4.96e-06
