                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65611,                0.32888,                0.83826,                0.76561,                0.29958,                0.84576,                0.76287,                0.59232,                0.66877,                0.52534,                  1.073,                0.88057,                0.95773,                 1.1742,                 1.2162,                0.98904,               0.003466,               0.003466,               0.003466
                     36,                0.65281,                0.32733,                0.83801,                0.76198,                0.29981,                0.84574,                 0.7479,                0.60105,                0.66529,                0.52163,                 1.0754,                0.88057,                0.95814,                 1.1747,                 1.2176,                0.98922,               0.003268,               0.003268,               0.003268
                     37,                0.64504,                0.32272,                0.83679,                0.75217,                0.29544,                0.84392,                0.74251,                0.60057,                0.66365,                0.51939,                 1.0762,                0.88293,                0.95775,                 1.1748,                 1.2224,                0.98874,                0.00307,                0.00307,                0.00307
                     38,                0.63881,                0.31933,                0.83529,                0.74426,                0.29054,                0.84248,                0.72076,                0.60969,                0.66201,                0.51746,                  1.077,                0.88407,                0.95765,                 1.1761,                 1.2232,                0.98884,               0.002872,               0.002872,               0.002872
                     39,                0.63519,                0.31646,                0.83448,                0.74082,                0.28847,                0.84183,                0.72149,                0.60726,                0.65943,                0.51552,                 1.0771,                0.88538,                 0.9577,                 1.1754,                 1.2294,                0.98786,               0.002674,               0.002674,               0.002674
                     40,                0.62782,                0.31258,                 0.8332,                0.73427,                0.28397,                0.84029,                 0.7304,                 0.6037,                0.65914,                0.51509,                 1.0768,                0.88689,                0.95758,                 1.1744,                 1.2357,                0.98764,               0.002476,               0.002476,               0.002476
                     41,                0.57448,                 0.2679,                0.81372,                0.64431,                0.20802,                0.81786,                 0.7281,                0.60414,                0.65949,                0.51564,                 1.0764,                0.90328,                0.95884,                  1.168,                 1.2565,                0.98772,               0.002476,               0.002476,               0.002476
                     42,                 0.5623,                0.26355,                 0.8111,                0.63284,                 0.2053,                0.81529,                0.73164,                0.60319,                0.65987,                0.51588,                 1.0766,                0.90984,                0.95927,                 1.1687,                 1.2702,                0.98832,                0.00208,                0.00208,                0.00208
                     43,                0.54996,                0.25751,                0.81008,                0.61919,                0.19999,                0.81412,                0.73651,                0.60032,                0.65875,                0.51531,                 1.0774,                0.91598,                0.95983,                   1.17,                 1.2813,                0.98924,               0.001882,               0.001882,               0.001882
                     44,                0.53897,                 0.2517,                0.80751,                0.60737,                0.19383,                0.81114,                0.72393,                0.60951,                0.65899,                0.51578,                 1.0778,                0.92158,                0.96015,                 1.1709,                  1.292,                0.98979,               0.001684,               0.001684,               0.001684
                     45,                0.52746,                0.24734,                 0.8056,                0.59536,                0.19085,                0.80897,                0.72715,                0.60958,                 0.6592,                0.51569,                 1.0778,                0.92781,                0.96033,                  1.171,                 1.3056,                   0.99,               0.001486,               0.001486,               0.001486
                     46,                 0.5172,                0.24328,                0.80331,                 0.5844,                0.18666,                0.80669,                0.73904,                0.60273,                0.65876,                0.51515,                 1.0782,                0.93483,                0.96052,                 1.1722,                 1.3204,                0.99016,               0.001288,               0.001288,               0.001288
                     47,                0.50701,                0.23815,                 0.8016,                0.57239,                0.18274,                0.80461,                0.73736,                0.60112,                0.65757,                0.51359,                 1.0787,                0.94114,                0.96074,                  1.173,                 1.3317,                0.99067,                0.00109,                0.00109,                0.00109
                     48,                 0.4964,                0.23363,                0.80065,                0.56126,                0.17786,                0.80337,                0.73365,                0.60163,                0.65646,                0.51253,                 1.0792,                0.94715,                0.96101,                 1.1738,                 1.3437,                0.99082,               0.000892,               0.000892,               0.000892
                     49,                0.48668,                0.22867,                0.79941,                0.55001,                0.17326,                0.80219,                0.73343,                0.60318,                0.65651,                0.51275,                   1.08,                0.95219,                0.96153,                  1.175,                 1.3539,                 0.9916,               0.000694,               0.000694,               0.000694
                     50,                  0.477,                  0.224,                 0.7975,                0.53988,                0.16954,                0.80003,                0.71226,                0.61367,                0.65621,                 0.5126,                 1.0809,                0.95715,                0.96215,                 1.1764,                 1.3627,                  0.992,               0.000496,               0.000496,               0.000496
